PDI;Abel;abel.vidal@urv.cat;Facultat de Turisme i Geografia;Vila-seca
PTGAS;Adria;adria.perez@urv.cat;Bellissens
PTGAS;Aina;aina.serra@urv.cat;Sescelades
Estudiants;Alicia;alicia.bosch@estudiants.urv.cat;Educació Primària;2025
PTGAS;Anna;anna.puig@urv.cat;Bellissens
Estudiants;Arnau;arnau.tomas@estudiants.urv.cat;Arqueologia;2023
Estudiants;Bernat;bernat.tomas@estudiants.urv.cat;Química;2026
PDI;Berta;berta.camps@urv.cat;Facultat de Química;Sescelades
Estudiants;Biel;biel.oliver@estudiants.urv.cat;Enginyeria Química;2025
Estudiants;Blanca;blanca.roca@estudiants.urv.cat;Belles Arts;2025
Estudiants;Borja;borja.llopis@estudiants.urv.cat;Administració d’Empreses;2024
PTGAS;Carla;carla.abril@urv.cat;Sescelades
Estudiants;Cati;cati.ferre@estudiants.urv.cat;Antropologia;2026
Estudiants;Cesc;cesc.farre@estudiants.urv.cat;Enginyeria Electrònica;2026
PTGAS;Clara;clara.serra@urv.cat;Vila-seca
Estudiants;Cloe;cloe.serra@estudiants.urv.cat;Psicologia;2023
PDI;Cristina;cristina.sanchez@urv.cat;Facultat de Medicina;Vapor Vell
Estudiants;Damia;damia.ortiz@estudiants.urv.cat;Medicina;2027
Estudiants;Dana;dana.ferrer@estudiants.urv.cat;Química;2023
PDI;Dani;dani.vila@urv.cat;Facultat de Psicologia;Sescelades
Estudiants;Dolors;dolors.palau@estudiants.urv.cat;Educació Infantil;2024
Estudiants;Edgar;edgar.prat@estudiants.urv.cat;Dret;2026
Estudiants;Elia;elia.girona@estudiants.urv.cat;Criminologia;2023
Estudiants;Eloi;eloi.vilar@estudiants.urv.cat;Fisioteràpia;2026
PDI;Enric;enric.sabate@urv.cat;Facultat d’Enologia;Sescelades
PTGAS;Eva;eva.camps@urv.cat;Catalunya
PDI;Fatima;fatima.homs@urv.cat;Facultat d’Infermeria;Catalunya
Estudiants;Feliu;feliu.massot@estudiants.urv.cat;Bioquímica;2026
Estudiants;Fiona;fiona.blanch@estudiants.urv.cat;Publicitat;2023
Estudiants;Flora;flora.roca@estudiants.urv.cat;Filologia;2025
PTGAS;Gemma;gemma.garcia@urv.cat;Sescelades
PDI;Gerard;gerard.salvat@urv.cat;Facultat d’Enginyeria;Sescelades
Estudiants;Guiu;guiu.bou@estudiants.urv.cat;Arquitectura;2025
PDI;Helena;helena.mas@urv.cat;Facultat de Química;Sescelades
Estudiants;Heura;heura.simo@estudiants.urv.cat;Ciències de l’Educació;2024
PTGAS;Hugo;hugo.sancho@urv.cat;Sescelades
PDI;Ignasi;ignasi.pou@urv.cat;Facultat de Química;Sescelades
PDI;Imma;imma.llop@urv.cat;Facultat de Lletres;Catalunya
PDI;Irene;irene.llorens@urv.cat;Facultat de Dret;Catalunya
PDI;Ismael;ismael.quer@urv.cat;Facultat de Medicina;Vapor Vell
Estudiants;Ivan;ivan.molas@estudiants.urv.cat;Periodisme;2025
Estudiants;Jan;jan.roig@estudiants.urv.cat;Enginyeria Informàtica;2024
Estudiants;Jana;jana.puig@estudiants.urv.cat;Arquitectura;2024
PDI;Jaume;jaume.balmes@urv.cat;Facultat de Ciències de l’Educació;Sescelades
PTGAS;Joana;joana.beltran@urv.cat;Catalunya
Estudiants;Josep;josep.boada@urv.cat;Història;2023
PTGAS;Julia;julia.fort@urv.cat;Vila-seca
Estudiants;Kai;kai.wild@estudiants.urv.cat;Màrqueting;2025
Estudiants;Kilian;kilian.smith@estudiants.urv.cat;Enginyeria Biomèdica;2025
PTGAS;Laia;laia.rodriguez@urv.cat;Sescelades
PDI;Laure;laure.llop@urv.cat;Facultat d’Economia;Bellissens
PTGAS;Lia;lia.font@urv.cat;Sescelades
PDI;Lleonard;lleonard.paris@urv.cat;Facultat d’Arquitectura;Reus
Estudiants;Lluis;lluis.companys@estudiants.urv.cat;Història;2023
Estudiants;Lola;lola.garcia@estudiants.urv.cat;Dret;2023
PDI;Manel;manel.font@urv.cat;Facultat de Medicina;Vapor Vell
PTGAS;Marc;marc.geli@urv.cat;Sescelades
PTGAS;Marta;marta.rosa@urv.cat;Sescelades
Estudiants;Marti;marti.pol@estudiants.urv.cat;Matemàtiques;2026
PTGAS;Miquel;miquel.gomez@urv.cat;Sescelades
PTGAS;Mireia;mireia.bonet@urv.cat;Catalunya
PDI;Montserrat;montserrat.caballe@urv.cat;Facultat de Lletres;Catalunya
Estudiants;Nara;nara.font@estudiants.urv.cat;Nutrició;2024
PTGAS;Neus;neus.catala@urv.cat;Terres de l’Ebre
Estudiants;Nil;nil.garcia@estudiants.urv.cat;Geografia;2023
PTGAS;Nuria;nuria.gomis@urv.cat;Terres de l’Ebre
Estudiants;Olga;olga.xirinacs@estudiants.urv.cat;Comunicació;2026
PTGAS;Oriol;oriol.vidal@urv.cat;Catalunya
Estudiants;Oscar;oscar.pau@estudiants.urv.cat;Matemàtiques;2026
Estudiants;Ot;ot.camp@estudiants.urv.cat;Filosofia;2026
PTGAS;Pau;pau.scudero@urv.cat;Sescelades
PDI;Pep;pep.mateo@urv.cat;Facultat de Turisme i Geografia;Vila-seca
Estudiants;Pere;pere.lluis@estudiants.urv.cat;Geologia;2024
PTGAS;Pol;pol.vives@urv.cat;Sescelades
Estudiants;Quim;quim.roca@estudiants.urv.cat;Biotecnologia;2026
PDI;Ricard;ricard.mateu@urv.cat;Facultat d’Economia;Bellissens
PTGAS;Roger;roger.nieves@urv.cat;Vila-seca
Estudiants;Rut;rut.vilar@estudiants.urv.cat;Treball Social;2024
Estudiants;Sam;sam.farrow@estudiants.urv.cat;Turisme;2023
PTGAS;Sofia;sofia.chaves@urv.cat;Vila-seca
Estudiants;Sonia;sonia.montero@estudiants.urv.cat;Psicologia;2024
Estudiants;Teo;teo.gil@estudiants.urv.cat;Turisme;2024
Estudiants;Teresa;teresa.palau@estudiants.urv.cat;Dret;2024
PDI;Toni;toni.vives@urv.cat;Facultat d’Enginyeria;Sescelades
PTGAS;Unai;unai.ortiz@urv.cat;Bellissens
Estudiants;Uri;uri.gallart@estudiants.urv.cat;Enginyeria Mecànica;2025
PDI;Ursula;ursula.mas@urv.cat;Facultat de Lletres;Catalunya
PDI;Valeria;valeria.sanz@urv.cat;Facultat de Dret;Catalunya
Estudiants;Vanessa;vanessa.ortiz@estudiants.urv.cat;Medicina;2024
Estudiants;Vera;vera.valls@estudiants.urv.cat;Infermeria;2025
Estudiants;Vicent;vicent.pla@estudiants.urv.cat;Física;2025
Estudiants;Vinyet;vinyet.beltran@estudiants.urv.cat;Pedagogia;2025
Estudiants;Xavier;xavier.valles@estudiants.urv.cat;Enginyeria Mecànica;2024
PDI;Xenia;xenia.morell@urv.cat;Facultat de Psicologia;Sescelades
Estudiants;Yeray;yeray.moya@estudiants.urv.cat;Enginyeria Elèctrica;2023
Estudiants;Yolanda;yolanda.mestre@estudiants.urv.cat;Economia;2024
Estudiants;Zaira;zaira.perez@estudiants.urv.cat;Infermeria;2025
Estudiants;Zoe;zoe.pascual@estudiants.urv.cat;Economia;2023
